Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index
 Richmond,,X,X,X,,,,CALIFORNIA  ,", 3285.0, 3734.0, 115619.0",0.0,0.0,0,0.0,0.0
 Sacramento,,X,,,,,,CALIFORNIA  ,", 25.0, 523600.0, 54163.0",0.0,0.0,0,0.0,0.0
 San Francisco,X1,X1,X,,X,X,"N, C, A",CALIFORNIA  ,", 851036.0, 65596.0",0.0,0.0,0,0.0,0.0
 Santa Clara County,,,X,,,,,CALIFORNIA  ,1916831.0,0.0,0.0,0,0.0,0.0
COLORADO  ,X,X,X,,,X,A,,5770790.0,1.0,0.0,1,0.34,0.585
 Denver,,,X,,X,X,,COLORADO  ,", 710800.0",0.0,0.0,0,0.0,0.0
 CONNECTICUT ,X,X,X,,,,A,,3611317.0,1.0,0.0,0,0.34,0.335
 Bridgeport,,,X,,,X,"N, A", CONNECTICUT ,", 148470.0, 8279.0",0.0,0.0,0,0.0,0.0
 Hartford,,X,X,X,X,X,"N, A", CONNECTICUT ,", 50942.0, 121057.0, 1364.0, 64088.0",0.0,0.0,0,0.0,0.0
 New Haven,,X,X,,X,X,"N, C, A", CONNECTICUT ,", 135736.0",0.0,0.0,0,0.0,0.0
 Norwich,,,X,,X,,, CONNECTICUT ,", 40054.0",0.0,0.0,0,0.0,0.0
 DELAWARE  ,,,X,,,X,,,993635.0,0.15,0.0,1,0.0,0.2875
 New Castle County,,,X,,,,, DELAWARE  ,570567.0,0.0,0.0,0,0.0,0.0
 Wilmington,,,X,,X,,, DELAWARE  ,", 71034.0, 8260.0",0.0,0.0,0,0.0,0.0
 District of Columbia,X,X,X,,X,X,A, DELAWARE  ,,0.0,0.0,0,0.0,0.0
FLORIDA,,,,,,,,,21634529.0,0.0,0.0,0,0.0,0.0
 Broward County,,,X,,X,X,"N, C, A",FLORIDA,1940907.0,0.0,0.0,0,0.0,0.0
 Clearwater,,,X,,,X,,FLORIDA,", 116984.0",0.0,0.0,0,0.0,0.0
 Daytona Beach,,,X,,X,,,FLORIDA,", 73329.0, 5087.0",0.0,0.0,0,0.0,0.0
 Gainesville,,,X,,,X,,FLORIDA,", 142414.0",0.0,0.0,0,0.0,0.0
 Fort Myers,,,X,,,,,FLORIDA,", 88699.0, 5650.0, 5990.0, 42492.0",0.0,0.0,0,0.0,0.0
 Jacksonville,,,X,,X,X,"N, A",FLORIDA,", 950203.0, 23583.0",0.0,0.0,0,0.0,0.0
 Miami-Dade County,,,X,,X,X,N,FLORIDA,2688237.0,0.0,0.0,0,0.0,0.0
 Orlando,,,X,,X,X,"N, C",FLORIDA,", 307738.0",0.0,0.0,0,0.0,0.0
 Pompano Beach,,,X,,,,"N, C",FLORIDA,", 111790.0",0.0,0.0,0,0.0,0.0
 Sarasota,,,X,,X,X,,FLORIDA,", 3701.0, 2573.0, 55508.0, 12500.0, 4855.0",0.0,0.0,0,0.0,0.0
 St Petersburg,,,X,,,,,FLORIDA,,0.0,0.0,0,0.0,0.0
 Tamarac,,,X,,,,A,FLORIDA,", 71578.0",0.0,0.0,0,0.0,0.0
 Tampa,,,X,,X,,N,FLORIDA,", 388768.0",0.0,0.0,0,0.0,0.0
 Tallahassee,,,X,,,X,,FLORIDA,", 198259.0",0.0,0.0,0,0.0,0.0
 GEORGIA,,,X,,,,,,10722325.0,0.15,0.0,0,0.0,0.0375
 Albany,,,X,,,X,"N, A", GEORGIA,", 68926.0",0.0,0.0,0,0.0,0.0
 Atlanta,,,X,,,,"N, C", GEORGIA,", 494838.0",0.0,0.0,0,0.0,0.0
 Augusta,,,X,,X,X,, GEORGIA,", 201615.0",0.0,0.0,0,0.0,0.0
 Cherokee County,,,X,,,X,A, GEORGIA,268567.0,0.0,0.0,0,0.0,0.0
 Columbus,,,X,,X,X,"N, A", GEORGIA,", 204572.0",0.0,0.0,0,0.0,0.0
 Fulton County,,,X,X,,X,"N, C", GEORGIA,1061944.0,0.0,0.0,0,0.0,0.0
 Macon-Bibb County,,,X,,,,"N, C", GEORGIA,,0.0,0.0,0,0.0,0.0
 Savannah,,,X,,,X,, GEORGIA,", 147583.0",0.0,0.0,0,0.0,0.0
 South Fulton,,X,X,,,,, GEORGIA,", 107865.0",0.0,0.0,0,0.0,0.0
 HAWAII ,X,X,X,,X,X,A,,1450589.0,1.0,0.5,1,0.34,0.71
 ILLINOIS ,X,X,X,,,X,A,,12757634.0,1.0,0.0,1,0.34,0.585
 Chicago,X,X,X,,,X,A, ILLINOIS ,", 2721914.0, 27366.0, 14284.0, 30890.0, 3986.0, 25632.0",0.0,0.0,0,0.0,0.0
 INDIANA,,,X,,,,,,6784403.0,0.15,0.0,0,0.0,0.0375
 Indianapolis,,X,X,,,X,, INDIANA,", 882006.0",0.0,0.0,0,0.0,0.0
IOWA,,,,,,,,,3188836.0,0.0,0.0,0,0.0,0.0
 Johnson County,,,X,,,X,,IOWA,153360.0,0.0,0.0,0,0.0,0.0
 Linn County,,,X,,,X,,IOWA,229308.0,0.0,0.0,0,0.0,0.0
 Waterloo,X,X,X,,X,X,A,IOWA,", 67256.0",0.0,0.0,0,0.0,0.0
 KANSAS,,,X,,,,,,2935922.0,0.15,0.0,0,0.0,0.0375
 Johnson County,,,X,,X,,, KANSAS,610742.0,0.0,0.0,0,0.0,0.0
 Kansas City,,,X,,,X,, KANSAS,", 11997.0, 155438.0",0.0,0.0,0,0.0,0.0
