"state","fips","median_age","median_income","poverty_perc","white_poverty_perc","blkAA_poverty_perc","AIAN_poverty_perc","asian_poverty_perc","PI_poverty_perc","other_poverty_perc","twomore_poverty_perc","hisp_poverty_perc","whitenon_poverty_perc","whitenon_edu_perc","white_edu_perc","blkAA_edu_perc","AIAN_edu_perc","asian_edu_perc","PI_edu_perc","other_edu_perc","twomore_edu_perc","hisp_edu_perc","no_highschool","employment_perc","unemployment_perc","leg_ctrl","gov_party","state_ctrl","bills_introduced","bills_enacted","reincarceration","det_sentencing","ag_employment","construct_employment","manu_employment","wtrade_employment","rtrade_employment","trans_employment","info_employment","finance_employment","prof_employment","edu_employment","arts_employment","other_employment","public_employment","white_perc","blkAA_perc","AIAN_perc","asian_perc","PI_perc","other_perc","twomore_perc","foreign_perc","able_to_work"
"New York",36,39.3,50120,9.7,6.4,16.5,18.9,11.1,13.7,19.1,12.9,17.1,5.7,45.4,44,25.9,19.6,49,19.1,17.4,34,22,12.4,58.8,6.2,"1","1","1",17159,2428,32,"0",0.6,5.8,5.8,2.1,9.8,5.7,2.8,8,12.6,28.8,8.6,4.6,4.7,0.551616833196799,0.147821156998758,0.00740993787067324,0.0956934395492081,0.000535362937212447,0.10943051095504,0.0874927584923091,0.226646225360572,0.974056158606827
"North Carolina",37,39.1,40251,9.5,6.7,16.9,20.6,6.3,7.7,20,14.4,18.9,6.2,37.6,37.1,23.7,14.2,61.2,26.1,14.4,30,18,10.6,58.3,5.1,"0","1","0.5",1650,128,36,"1",1.1,7.3,11.9,2.3,11.4,5.2,1.7,6.9,11.9,22.5,8.8,4.9,4.1,0.621536339103403,0.205013646393831,0.0124559025873931,0.0328612175349743,0.000815948214588825,0.0591404400334579,0.0681765061323518,0.0856892526039649,1.02486592125899
"North Dakota",38,35.4,44337,6.1,4.3,20.6,26.5,20.3,52.4,15.9,9.9,14.3,4.1,32.4,32.3,25.3,14.4,57.8,15.8,18.6,25.4,18.3,6.5,66,2.9,"0","0","0",990,628,36,"0",8.6,7.2,7.1,2.9,11.2,5.5,1.1,5.8,7.2,26.3,8,4.4,4.6,0.82908865939155,0.0343771098224348,0.0499477598338583,0.01695944263465,0.00118599296105476,0.0146092769293564,0.0538317584270961,0.0459717604242994,1.00021435154166
"Ohio",39,39.6,40001,9.3,6.9,23.3,25.9,7.6,38.2,21.5,17.6,19.5,6.8,31.5,31.3,19.3,14.1,60.6,29.4,18.6,27.9,22.2,8.6,59.9,5,"0","0","0",826,423,33,"1",0.9,5.8,15,2.4,11.2,5.7,1.4,6.5,9.9,24.1,8.7,4.3,3.9,0.769585831472794,0.12532628645001,0.0026035116218996,0.0252985563392457,0.000426630127104251,0.0190130928158673,0.0577460911730786,0.0498413668935625,0.996322709333521
"Oklahoma",40,36.9,36858,11,8.9,21.8,15.8,11.3,40.5,18.9,14.5,18.1,8.3,29.9,29.2,21.8,18.2,43.1,14.4,10.3,23.7,13,11.1,57.6,4.9,"0","0","0",3371,459,18,"0",4.1,7.2,9.4,2.3,11.8,5.7,1.5,5.5,9,22.8,9.4,5.2,6.2,0.635175747148587,0.0732344400713955,0.0840518640292997,0.0229706722285181,0.00217409258532897,0.0540494873783671,0.128343696558503,0.0603895716204786,1.0152668883022
"Oregon",41,39.9,47250,7.3,6.5,19.3,14.3,7.5,19.6,13,9.1,12.3,6.2,36.9,36.2,32.5,15.9,54.6,19.3,15,29.9,18.9,8.4,58.9,5.5,"1","1","1",2970,499,13,"1",2.8,6.7,10.8,2.5,11.8,4.6,1.5,5.5,11.8,23.3,9.3,4.5,4.7,0.747912328167097,0.0195067279390247,0.0148664607472383,0.045911316191422,0.00453217837204077,0.0626421910783771,0.1046287975048,0.0992758017016903,1.00067992115652
"Pennsylvania",42,40.8,42103,8,5.6,20.4,16.2,9.4,5.7,26.1,14.8,21.8,5.3,35.3,35,21,18.8,57.6,28.8,15.8,30.9,19.9,8.3,59.4,5.4,"0","1","0.5",2634,86,38,"0",1.2,6,11.6,2.5,11,5.9,1.5,6.6,10.9,26.4,7.7,4.7,4,0.74989709829497,0.109451806163335,0.00238811939058811,0.0392611534527444,0.000328854776315688,0.0391096464580433,0.0595633214640036,0.0754064443993559,0.997639567166819
"Rhode Island",44,40.1,46544,7.2,4.8,14,16.2,7.2,12.1,23.9,12,20.1,4,40.1,39.1,24.8,16.6,54.4,16.1,13.7,23.9,16.1,10.6,60.7,5.9,"1","1","1",2674,918,45,"0",0.5,6.3,10.8,2.3,11.1,4.8,1.4,6.8,11.2,26.8,9.4,4.3,4.3,0.713445400358491,0.0566513483491118,0.00672967133506291,0.0355036865112236,0.000488436538333611,0.094420432685517,0.0927610242222605,0.144088050659484,0.996678449286892
"South Carolina",45,40,37714,10.2,6.6,19.5,16.6,7.5,8.8,21.4,13.5,18.2,6.4,35.4,35.1,18.2,13.4,54.5,11.3,17,28.3,20.5,10.7,56.4,5.2,"0","0","0",1456,800,18,"0",0.9,7,13.4,2.3,11.4,5.5,1.5,6,10.9,22.1,9.7,4.9,4.5,0.63367969639098,0.250180670811822,0.00474814029706404,0.0176745776288604,0.0006703233904961,0.0347520965922134,0.0582944948885644,0.0517497521122985,1.03208193926843
"South Dakota",46,37.5,41562,7.5,4.8,16.5,44.6,2.9,0,11.5,13.9,18.5,4.7,32.2,32,18.7,9.6,47.7,12.7,22.5,27.5,20,7.3,65,3.1,"0","0","0",517,209,40,"0",6.3,7.1,10.1,2.6,11.4,4.5,1.5,7.2,6.8,24.6,8.7,4.5,4.8,0.80676962151518,0.0201225488261095,0.0876856813211724,0.0151984905268833,0.000612405784809855,0.0169815725633186,0.0526296794625265,0.0386613235087226,1.02611690747485
"Tennessee",47,38.9,38491,10,8,19.1,15.9,6.4,15.6,21.2,15.1,18.5,7.7,31.1,30.9,22.3,17.2,56,27.5,18.5,26.6,18.9,10.7,58.4,5,"0","0","0",4798,2547,40,"0",0.9,6.8,12.9,2.4,11.7,7,1.6,6.1,10.3,22.3,9.2,4.8,4.2,0.722189777219557,0.158149805233517,0.00405797269217635,0.0196235189933496,0.000595441364580861,0.035637057145007,0.0597464273518125,0.0556565214067853,1.0203302348195
"Texas",48,35.2,45581,10.7,8.4,15.5,13,7.1,15.2,18,14.6,16.6,5.2,41,34.8,27.7,20.1,61.3,23.9,13.1,23.4,17.6,14.8,61.3,5.2,"0","0","0",10549,4410,15,"0",2.6,8.7,8.5,2.6,11.3,6.4,1.6,6.9,12.2,21.5,8.7,5,4.1,0.501256197139147,0.121905487655815,0.00957087550893354,0.0543987829341094,0.00115321384892799,0.135573770294939,0.176141672618128,0.172134521264572,1.03033287637322
"Utah",49,31.4,49232,5.7,4.9,18,17,7.2,8,12.4,7.4,10.9,4.5,38.9,37.9,23.6,16.5,48.8,19.9,14.6,30.9,18.5,6.8,66.8,3.4,"0","0","0",934,578,21,"0",1.4,7.8,10.2,2.3,11.6,5.4,1.8,7.2,12.8,22.2,8.2,4.4,4.6,0.786587729122244,0.0122441019973004,0.0127288777167002,0.0245866263033314,0.0112879995696316,0.0672817347757194,0.0852829305150727,0.0864585305253194,1.03337310980262
"Vermont",50,42.9,44200,5.9,5.5,20.3,16.7,12.1,15.6,7.5,12.2,12,5.4,41.5,41.5,39.7,21.2,55.1,43.9,39.1,43.2,46,5.8,62.2,3.8,"1","0","0.5",877,287,42,"0",2.6,7.4,10.1,1.8,11.5,3.1,1.8,4.8,9.3,28.7,9.5,4.6,4.9,0.898416519328168,0.014048084444009,0.0035594493349941,0.017958969143664,0.000281459296476161,0.00815920955033379,0.0575763089023554,0.0476197099514113,1.00619987964116
"Virginia",51,38.7,52722,6.8,4.9,13.1,10.9,4.9,6.4,15,8.2,11.5,4.7,44.2,43.6,26.6,26,62.9,37.4,22,39.9,28.5,8.9,61,4.4,"1","0","0.5",2629,1108,21,"1",0.9,6.5,7.1,1.7,9.9,4.8,1.8,6.4,16.4,22.1,8.3,5.2,8.9,0.603478024925988,0.186248152528798,0.0046350571686401,0.0713020482325391,0.000829066640807573,0.0517471513578399,0.0817604991453871,0.127254316431893,1.00605070351912
"Washington",53,38,56616,6.3,5,13,17.1,6.2,11.3,14.7,10.2,13.4,4.7,39,38.3,27,16.3,57.4,13.5,14.7,32.2,19,7.9,60.4,5,"1","1","1",1545,494,22,"1",2.5,7.2,9.2,2.5,11.7,5.7,2.4,5.3,14.3,21.3,8.6,4.4,5,0.665896545499119,0.0399161302488514,0.0157642531141953,0.094817567328174,0.00842707748101594,0.0665958840436838,0.10858254228496,0.152636098654651,1.01044802908551
"West Virginia",54,42.6,31167,11.9,11.5,20.9,12.7,7.4,0,14.2,21.6,17.3,11.4,22.6,22.6,16.4,15.9,61.6,6.7,23.8,23.2,25.5,11.6,49.9,6.1,"0","0","0",2543,426,29,"0",3.3,6.5,8.1,1.9,12.5,6.1,1.5,4.1,8.3,27.9,8.7,4.3,6.8,0.897995557825208,0.036690869680596,0.00206610188011926,0.00842329554957418,0.000265370883685043,0.00720236648388039,0.0473564376969375,0.0183645831690285,0.989652765543709
"Wisconsin",55,39.9,44664,6.6,4.8,25.5,20.5,8.6,15.3,19,13.5,16.6,4.6,33.5,33.2,16,15.5,49.8,20.5,15.1,26.5,17.1,6.9,63.4,3.4,"0","1","0.5",882,67,32,"1",2.1,6.1,18.1,2.6,11,4.9,1.5,6.1,8.9,23.2,7.8,4.2,3.5,0.803829602977272,0.0638401769477264,0.0102529506841013,0.0298117419258947,0.000373109130772799,0.0308894996333384,0.0610029187008947,0.0500193549843285,0.999799956496052
"Wyoming",56,38.5,41721,6.8,6.4,28.5,17.8,8.9,2.6,11.6,4.8,13.2,5.9,30.5,29.8,41,9.2,52.2,17.3,13.8,23.5,13.9,6.1,62.5,3.8,"0","0","0",361,104,27,"0",9.8,8.9,4.3,1.9,11,6.1,1.5,4.5,6.8,24.5,9.7,4.8,6.2,0.846620704480013,0.00906993313697991,0.0240928766700586,0.00903526213874987,0.00100372539875982,0.0348148828727002,0.0753626153027385,0.0301489040749526,1.00785298109911
